Epoch 1, train loss 1.0648, test rmse 0.935208
Epoch 2, train loss 0.9883, test rmse 0.935559
Epoch 3, train loss 0.9585, test rmse 0.935119
Epoch 4, train loss 0.9421, test rmse 0.934322
Epoch 5, train loss 0.9236, test rmse 0.927308
Epoch 6, train loss 0.9141, test rmse 0.928566
Epoch 7, train loss 0.9077, test rmse 0.946965
Epoch 8, train loss 0.9021, test rmse 0.922923
Epoch 9, train loss 0.8984, test rmse 0.934168
Epoch 10, train loss 0.8914, test rmse 0.921741
Epoch 11, train loss 0.8879, test rmse 0.925373
Epoch 12, train loss 0.8875, test rmse 0.933226
Epoch 13, train loss 0.8870, test rmse 0.918627
Epoch 14, train loss 0.8853, test rmse 0.927820
Epoch 15, train loss 0.8804, test rmse 0.916851
Epoch 16, train loss 0.8808, test rmse 0.916412
Epoch 17, train loss 0.8807, test rmse 0.915903
Epoch 18, train loss 0.8808, test rmse 0.912866
Epoch 19, train loss 0.8802, test rmse 0.936271
Epoch 20, train loss 0.8779, test rmse 0.916196
Epoch 21, train loss 0.8783, test rmse 0.914531
Epoch 22, train loss 0.8787, test rmse 0.913469
Epoch 23, train loss 0.8750, test rmse 0.919440
Epoch 24, train loss 0.8803, test rmse 0.918339
Epoch 25, train loss 0.8749, test rmse 0.914404
Epoch 26, train loss 0.8766, test rmse 0.919740
Epoch 27, train loss 0.8753, test rmse 0.914416
Epoch 28, train loss 0.8749, test rmse 0.913772
Epoch 29, train loss 0.8747, test rmse 0.925709
Epoch 30, train loss 0.8731, test rmse 0.918270
Epoch 31, train loss 0.8740, test rmse 0.915513
Epoch 32, train loss 0.8725, test rmse 0.917430
Epoch 33, train loss 0.8750, test rmse 0.917967
Epoch 34, train loss 0.8754, test rmse 0.910451
Epoch 35, train loss 0.8753, test rmse 0.920510
Epoch 36, train loss 0.8749, test rmse 0.921182
Epoch 37, train loss 0.8721, test rmse 0.910592
Epoch 38, train loss 0.8719, test rmse 0.921408
Epoch 39, train loss 0.8760, test rmse 0.910034
Epoch 40, train loss 0.8689, test rmse 0.922117
Epoch 41, train loss 0.8694, test rmse 0.915585
Epoch 42, train loss 0.8709, test rmse 0.914475
Epoch 43, train loss 0.8715, test rmse 0.916466
Epoch 44, train loss 0.8716, test rmse 0.917964
Epoch 45, train loss 0.8700, test rmse 0.918243
Epoch 46, train loss 0.8701, test rmse 0.911805
Epoch 47, train loss 0.8719, test rmse 0.911478
Epoch 48, train loss 0.8715, test rmse 0.911461
Epoch 49, train loss 0.8688, test rmse 0.912668
Epoch 50, train loss 0.8720, test rmse 0.914596
Epoch 51, train loss 0.8521, test rmse 0.906757
Epoch 52, train loss 0.8464, test rmse 0.907780
Epoch 53, train loss 0.8464, test rmse 0.907737
Epoch 54, train loss 0.8449, test rmse 0.905409
Epoch 55, train loss 0.8432, test rmse 0.908113
Epoch 56, train loss 0.8451, test rmse 0.906003
Epoch 57, train loss 0.8430, test rmse 0.905118
Epoch 58, train loss 0.8428, test rmse 0.905558
Epoch 59, train loss 0.8396, test rmse 0.908599
Epoch 60, train loss 0.8391, test rmse 0.906432
Epoch 61, train loss 0.8440, test rmse 0.906166
Epoch 62, train loss 0.8408, test rmse 0.906201
Epoch 63, train loss 0.8413, test rmse 0.906308
Epoch 64, train loss 0.8413, test rmse 0.905209
Epoch 65, train loss 0.8410, test rmse 0.906029
Epoch 66, train loss 0.8415, test rmse 0.904926
Epoch 67, train loss 0.8415, test rmse 0.905760
Epoch 68, train loss 0.8396, test rmse 0.906088
Epoch 69, train loss 0.8398, test rmse 0.904091
Epoch 70, train loss 0.8387, test rmse 0.906839
Epoch 71, train loss 0.8402, test rmse 0.906265
Epoch 72, train loss 0.8395, test rmse 0.906567
Epoch 73, train loss 0.8397, test rmse 0.905910
Epoch 74, train loss 0.8389, test rmse 0.904860
Epoch 75, train loss 0.8398, test rmse 0.904183
Epoch 76, train loss 0.8367, test rmse 0.907106
Epoch 77, train loss 0.8391, test rmse 0.904584
Epoch 78, train loss 0.8385, test rmse 0.906718
Epoch 79, train loss 0.8389, test rmse 0.905581
Epoch 80, train loss 0.8388, test rmse 0.906122
Training ends. The best testing rmse is 0.904091 at epoch 69
